id,date,primary_type,latitude,longitude,community_area,lat,lon,cluster,rank,tipo_ponto
27741,2023-09-10T03:32:00.000,HOMICIDE,41.899090952,-87.718208578,23,41.899090952,-87.718208578,1,2,top 2
27740,2023-09-09T10:35:00.000,HOMICIDE,41.811221665,-87.747448869,56,41.811221665,-87.747448869,0,NA,ruído
27739,2023-09-09T08:40:00.000,HOMICIDE,41.675989111,-87.616534181,53,41.675989111,-87.616534181,2,1,top 1
27738,2023-09-09T03:16:00.000,HOMICIDE,41.748120376,-87.641527156,71,41.748120376,-87.641527156,2,1,top 1
27736,2023-09-08T23:24:00.000,HOMICIDE,41.747532761,-87.667009237,71,41.747532761,-87.667009237,2,1,top 1
27799,2023-09-08T12:48:00.000,HOMICIDE,41.766741956,-87.663075242,67,41.766741956,-87.663075242,2,1,top 1
27735,2023-09-07T21:47:00.000,HOMICIDE,41.750974623,-87.623557715,69,41.750974623,-87.623557715,2,1,top 1
27737,2023-09-07T19:34:00.000,HOMICIDE,41.942257928,-87.669951491,6,41.942257928,-87.669951491,0,NA,ruído
27929,2023-09-05T12:24:00.000,HOMICIDE,41.91884126,-87.777983794,19,41.91884126,-87.777983794,1,2,top 2
27733,2023-09-05T04:22:00.000,HOMICIDE,41.69985327,-87.624852514,49,41.69985327,-87.624852514,2,1,top 1
27731,2023-09-04T22:13:00.000,HOMICIDE,41.775137868,-87.753030909,64,41.775137868,-87.753030909,0,NA,ruído
27730,2023-09-04T21:06:00.000,HOMICIDE,41.749315877,-87.568628671,46,41.749315877,-87.568628671,2,1,top 1
27732,2023-09-04T14:32:00.000,HOMICIDE,41.658182943,-87.61332106,54,41.658182943,-87.61332106,8,7,top 7
27729,2023-09-04T05:05:00.000,HOMICIDE,41.885474288,-87.699584257,27,41.885474288,-87.699584257,1,2,top 2
27883,2023-09-03T01:38:00.000,HOMICIDE,41.779120086,-87.615599494,69,41.779120086,-87.615599494,2,1,top 1
27728,2023-09-02T16:45:00.000,HOMICIDE,41.880769306,-87.722118889,26,41.880769306,-87.722118889,1,2,top 2
27727,2023-09-02T15:10:00.000,HOMICIDE,41.788732481,-87.652890669,68,41.788732481,-87.652890669,2,1,top 1
27726,2023-09-02T08:00:00.000,HOMICIDE,41.877906253,-87.731318752,26,41.877906253,-87.731318752,1,2,top 2
27725,2023-09-01T18:34:00.000,HOMICIDE,41.82474216,-87.631332494,34,41.82474216,-87.631332494,2,1,top 1
27724,2023-09-01T18:34:00.000,HOMICIDE,41.823732931,-87.69296948,58,41.823732931,-87.69296948,2,1,top 1
27723,2023-08-31T12:53:00.000,HOMICIDE,41.779120086,-87.615599494,69,41.779120086,-87.615599494,2,1,top 1
27750,2023-08-30T12:58:00.000,HOMICIDE,41.77405332,-87.604573578,42,41.77405332,-87.604573578,2,1,top 1
27722,2023-08-29T05:00:00.000,HOMICIDE,41.660392717,-87.588857809,51,41.660392717,-87.588857809,8,7,top 7
27721,2023-08-28T21:39:00.000,HOMICIDE,41.694335171,-87.628991986,49,41.694335171,-87.628991986,2,1,top 1
27720,2023-08-28T18:43:00.000,HOMICIDE,41.87690503,-87.711316229,27,41.87690503,-87.711316229,1,2,top 2
27719,2023-08-28T00:54:00.000,HOMICIDE,41.722350265,-87.584454327,51,41.722350265,-87.584454327,16,NA,cluster menor
27718,2023-08-28T00:24:00.000,HOMICIDE,41.754200888,-87.649634597,71,41.754200888,-87.649634597,2,1,top 1
27717,2023-08-26T04:35:00.000,HOMICIDE,41.880218177,-87.690048344,28,41.880218177,-87.690048344,1,2,top 2
27716,2023-08-25T05:14:00.000,HOMICIDE,41.813328996,-87.668745122,61,41.813328996,-87.668745122,2,1,top 1
27715,2023-08-24T00:20:00.000,HOMICIDE,41.743906348,-87.6997911,70,41.743906348,-87.6997911,13,NA,cluster menor
27714,2023-08-24T00:13:00.000,HOMICIDE,41.851560209,-87.72381017,29,41.851560209,-87.72381017,1,2,top 2
27713,2023-08-23T16:45:00.000,HOMICIDE,41.779547527,-87.630135447,69,41.779547527,-87.630135447,2,1,top 1
27711,2023-08-23T00:09:00.000,HOMICIDE,41.840798911,-87.608804034,35,41.840798911,-87.608804034,0,NA,ruído
